# chr: chromosome
# st: starting position for the segment
# sp: end position for the segment
# maxsize: maximum size of phenotype clusters
# count: counts of phenotypes in cluster, comma delimited
# phenos: phenotypes in each cluster, comma delimited. Clusters are semi-colon delimited
# snps: minimum P-values in the region for each phenotype. nan = missing data. space-delimited, in format [phenotype]:[best snp]:[Z scores for all phenotypes in same order as in phenos]
# NB: often will want to exclude the MHC from 26-34Mb on chromosome 6
chr	st	sp	maxsize	count	phenos	snps
chr14	32383265	34846251	2	2	NST-23,SCZ	NST_23:rs12883788:-6.65117,5.09864 SCZ:rs12883788:-6.65117,5.09864
chr14	35859593	38667725	2	2	ATH-23,ALL-23	ATH_23:rs190688524:3.94873,-0.532689 ALL_23:rs61977073:2.82782,6.90264
chr14	59448336	61680424	3	3	AAM,HEIGHT,AAM-23	AAM:rs1254276:6.6657,12.6991,7.08836 HEIGHT:rs1254276:6.6657,12.6991,7.08836 AAM_23:rs1254309:nan,nan,7.71539
chr14	65220298	66399555	2	2	MCV,PLT	MCV:rs7155454:5.62178,2.59668 PLT:rs11627485:5.5207,3.96709
chr14	67992317	71131957	4	4	ATH-23,ALL-23,RA,CD	ATH_23:rs3784099:5.91392,3.3131,-5.00992,-0.854912 ALL_23:rs73290234:0.400711,4.6393,nan,nan RA:rs12887372:0.500764,0.744361,5.42887,-4.66554 CD:rs4902642:1.12854,1.71407,3.47384,-5.40649
chr14	78561945	80186579	2	2	BMI,T2D	BMI:rs1865719:6.42105,2.59715 T2D:rs7141420:6.28405,4.09074
chr14	87635341	89497643	2	2	ATH-23,CD	ATH_23:rs59884956:4.24456,2.04173 CD:rs8014798:3.94448,5.11478
chr14	99138532	101534307	3	3;2;2	AAM,HEIGHT,AAM-23;NST-23,ALL-23;DIMP-23,PLT	AAM:rs10144321:-6.34669,-3.52941,-7.67425,1.96205,1.84483,0.714016,0.181468 HEIGHT:rs2273608:2.51214,4.23077,2.97076,-0.167554,0.417944,-0.310742,0.317321 AAM_23:rs12894936:5.86187,3.23387,8.34016,-2.04473,-1.46671,-1.2965,-0.369946 NST_23:rs12881760:-4.71133,-1.68399,-1.08377,4.92849,-4.37625,2.9447,4.19887 ALL_23:rs4905754:-1.91888,1.23333,0.593471,0.385811,-4.79321,-0.613159,-1.02027 DIMP_23:rs4900471:-4.24824,-0.789624,-1.2849,3.50864,-3.70951,4.77853,4.61026 PLT:rs7149242:-4.18915,-0.818182,-1.22529,3.42975,-3.69979,4.22077,5.56109
chr15	38530777	40384132	2	2	RA,CD	RA:rs6495979:7.69708,3.94021 CD:rs28438860:4.77719,4.56775
chr15	41177514	42776399	2	2	ATH-23,ALL-23	ATH_23:rs12440045:4.86582,nan ALL_23:rs11635906:4.25871,5.36806
chr15	42776399	44198049	2	2	TG,PLT	TG:rs117519814:5.55748,4.7722 PLT:rs9652444:3.867,5.34982
chr15	44198049	46618787	2	2	TG,PLT	TG:rs59770554:7.08207,3.66713 PLT:rs4270152:6.401,4.03583
chr15	46618787	48136048	2	2	PS-23,SCZ	PS_23:rs1353580:-5.79431,4.37114 SCZ:rs1559677:-5.75269,4.41289
chr15	55136269	56901773	2	2	RBC,EDU	RBC:rs12915092:5.14327,-4.343 EDU:rs8036481:4.89255,-5.177
chr15	58441366	59694116	6	6	PCV,HB,TG,HDL,RBC,TC	PCV:rs10468017:-4.10217,-3.56648,7.161,20.47,-4.30994,8.711 HB:rs2043085:3.81991,4.82345,-7.069,-20.254,4.08404,-9.072 TG:rs10468017:-4.10217,-3.56648,7.161,20.47,-4.30994,8.711 HDL:rs1532085:3.89125,4.61475,-6.723,-20.819,4.16614,-9.102 RBC:rs10468017:-4.10217,-3.56648,7.161,20.47,-4.30994,8.711 TC:rs174418:3.06132,3.71782,-6.86593,-19.8462,3.17434,-9.23821
chr15	59694116	61265836	4	4;2	AAM,MPB-23,HEIGHT,AVD-23;ATH-23,ALL-23	AAM:rs3743266:-7.21997,4.31241,-4.51613,-3.57684,0.691797,nan MPB_23:rs17270216:-4.46788,5.60462,-2.89474,-0.935892,1.52614,1.85552 HEIGHT:rs3743266:-7.21997,4.31241,-4.51613,-3.57684,0.691797,nan AVD_23:rs3743266:-7.21997,4.31241,-4.51613,-3.57684,0.691797,nan ATH_23:rs10519068:-0.279319,0.0199227,-0.489362,-1.43602,-6.92407,nan ALL_23:rs7173981:-0.683326,-1.02269,-1.32257,-0.825861,-4.47741,-5.12019
chr15	63215222	65104668	3	3	HB,HDL,PCV	HB:rs2652804:-4.52034,4.352,-4.58017 HDL:rs2652834:-3.57563,5.753,-3.87597 PCV:rs2652804:-4.52034,4.352,-4.58017
chr15	65104668	67094767	2	2	WHR,HEIGHT	WHR:rs893903:4.89362,-6.06061 HEIGHT:rs12594720:-4.49929,6.36641
chr15	67094767	69017999	5	5;3	ATH-23,ALL-23,RA,UC,CD;AAM,BMI,AAM-23	ATH_23:rs56375023:9.9311,5.8225,3.4412,4.05305,7.11877,0.907093,0.038662,-0.206904 ALL_23:rs17294280:8.94361,6.06075,2.71315,4.30143,6.98032,1.77438,-0.443513,0.547093 RA:rs187242551:nan,nan,3.53269,nan,nan,nan,nan,nan UC:rs72743477:8.89486,5.68761,2.74189,4.34274,6.99402,1.03936,-0.637319,0.0053968 CD:rs56062135:9.83059,5.83335,3.02499,4.17114,7.15281,0.828449,-0.287451,-0.175147 AAM:rs8032675:1.08722,0.877191,-0.98921,-0.385051,0.288061,-6.14692,6.48829,-3.53816 BMI:rs4776375:-2.75099,-1.07899,2.2193,0.348603,-0.317492,4.825,-7.15909,4.82886 AAM_23:rs28675295:-2.78362,-1.54114,1.78402,0.445418,-0.362361,4.84251,-6.67825,4.89618
chr15	73628714	76398624	2	2	BHM-23,NST-23	BHM_23:15:74223620:6.60486,3.02535 NST_23:rs8027022:6.14075,4.52574
chr15	78516053	80860978	2	2	MIGR-23,CAD	MIGR_23:rs55919125:3.77989,nan CAD:rs2219939:3.12095,-6.07943
chr15	88369943	90475551	3	3	AAM,AAM-23,AVD-23	AAM:rs12915845:-6.10941,-5.11946,-4.79452 AAM_23:rs12915845:-6.10941,-5.11946,-4.79452 AVD_23:rs12900570:-4.05864,-3.61004,-5.03881
chr16	60054	1207206	2	2	HTHY-23,MCHC	HTHY_23:rs7189020:4.30701,4.97431 MCHC:rs11248914:3.432,5.53535
chr16	4001196	5118345	2	2	MIGR-23,SCZ	MIGR_23:rs34123742:-4.9241,-3.95564 SCZ:rs6500602:-4.52614,-5.13697
chr16	7529121	8338519	2	2	ALL-23,EDU	ALL_23:rs11648513:4.51002,4.49 EDU:rs79661945:4.38032,4.734
chr16	10426032	11520161	3	3;2	ATH-23,ALL-23,AD;PLT,CD	ATH_23:rs7203459:-8.24083,-7.18953,-3.62712,0.26722,0.942938 ALL_23:rs11644510:-7.11361,-9.08186,-3.33735,0.396669,0.169658 AD:rs7203209:1.19022,2.11608,4.52695,1.05577,0.91529 PLT:rs4780355:1.22793,2.325,1.33143,5.02127,-4.05535 CD:rs243317:0.893856,2.45835,0.869822,4.66223,-4.5403
chr16	13154437	14464002	5	5	AAM,AAM-23,MPB-23,HEIGHT,AVD-23	AAM:rs1659127:6.90558,7.32428,-5.94623,9.09091,7.45745 AAM_23:rs1704528:6.73771,7.4429,-5.89616,8.76938,7.53309 MPB_23:rs246180:6.54033,7.11055,-5.95288,8.79425,7.60441 HEIGHT:rs1659127:6.90558,7.32428,-5.94623,9.09091,7.45745 AVD_23:rs246185:6.66207,7.28907,-5.93447,8.82353,7.77092
chr16	14464002	16154060	2	2	LSBMD,TG	LSBMD:rs4985155:5.13543,4.377 TG:rs4985124:4.66668,4.593
chr16	18643607	20150571	5	5;2	AAM,BMI,HDL,MIGR-23,AAM-23;PD-23,EDU	AAM:rs11865578:4.42599,-6.74005,3.792,4.41126,3.15401,-0.0548801,-0.288 BMI:rs7204864:4.14847,-7.07911,3.53463,3.63798,4.38112,-0.43175,-0.682 HDL:rs9931211:2.96774,-5.23077,4.101,2.85839,1.5438,1.61802,-0.083 MIGR_23:rs12919790:nan,nan,nan,-4.64775,-2.22385,1.34089,0.616 AAM_23:rs11643088:4.01758,-6.97192,3.47878,3.55581,4.49,-0.461248,-0.839 PD_23:rs11343:-0.481727,1.47368,0.107,-0.893731,-0.503359,-6.09192,-3.93 EDU:rs6497339:-0.543444,1.68421,-0.133189,-1.04669,-0.544745,-5.85963,-4.204
chr16	25986862	27445755	2	2	ATH-23,ALL-23	ATH_23:rs6498022:4.7686,3.76832 ALL_23:rs1119132:-4.31845,-4.85838
chr16	27445755	29036613	9	9	TS-23,BMI,CD,ATH-23,NST-23,PD-23,EDU,ALL-23,RA	TS_23:rs141876325:6.90934,nan,nan,-1.88851,-4.72934,nan,nan,nan,nan BMI:rs4788100:5.51777,7.52632,5.63879,-2.07372,-2.1011,-3.59793,-4.48,-4.74511,3.79861 CD:rs1968752:-5.88894,nan,-6.32039,2.68637,3.70217,nan,3.472,nan,-1.19251 ATH_23:rs705924:-0.061932,0.142857,-0.256783,3.84538,0.905446,0.947722,-1.552,2.25986,1.29256 NST_23:rs2650492:6.36482,nan,5.83531,-1.90981,-4.87178,nan,-3.241,nan,0.492175 PD_23:rs750155:5.31202,nan,nan,-2.64017,-3.64713,-4.52097,-1.682,-5.87514,2.37293 EDU:rs4788079:5.65066,6.60236,5.56853,-2.85084,-4.09054,-3.48672,-5.065,-5.50435,nan ALL_23:rs750155:5.31202,nan,nan,-2.64017,-3.64713,-4.52097,-1.682,-5.87514,2.37293 RA:rs8049439:5.43066,7.20801,5.80854,-1.98843,-2.28626,-3.72135,-5.011,-4.63055,4.58307
chr16	29036613	31382943	2	2;2	BMI,TG;RBC,PD-23	BMI:rs1978487:4.84211,5.103,-2.78191,-4.25408 TG:rs12917722:-3.95055,-5.312,3.49965,nan RBC:rs13708:-3.13158,-4.16,5.59384,4.97878 PD_23:rs8062719:-3.15789,-4.169,5.14508,5.50466
chr16	53382572	55903774	7	7	BMI,CUP-23,AVD-23,AAM,T2D,AAM-23,HDL	BMI:rs8043757:21.1053,5.06282,-3.77018,-6.93766,6.28267,-7.35906,-4.32841 CUP_23:rs62033406:18.3603,5.29684,-3.60883,-6.22341,6.14242,-7.03734,-4.54965 AVD_23:rs28432761:16.5406,4.18238,-4.65739,-6.11376,4.38542,-7.03651,-3.99709 AAM:rs9935401:19.661,5.12219,-3.81832,-7.33009,6.51853,-7.30558,-4.436 T2D:rs9936385:19.6237,5.15144,-3.8672,-7.27361,6.58014,-7.32812,-4.413 AAM_23:rs1558902:19.2464,5.10174,-4.13043,-6.99035,6.09004,-7.71453,-4.52115 HDL:rs1121980:19.2617,4.91625,-3.66987,-6.98741,5.76023,-7.08607,-4.744
chr16	65938566	68841363	4	2;4	RBC,TC;HB,ATH-23,HDL,PCV	RBC:rs2271294:6.0913,3.92417,3.05561,-3.552,10.3431,3.7783 TC:rs255052:3.96076,4.497,3.28813,-4.12329,10.5,3.28084 HB:rs1124324:5.01793,4.358,3.891,-4.39099,11.89,4.02469 ATH_23:rs199707898:nan,nan,nan,-4.95413,nan,nan HDL:rs16942887:4.04537,4.477,3.6313,-4.40036,11.929,3.68837 PCV:rs8060686:5.52478,3.777,2.96549,-3.49559,10.205,4.19597
chr16	68841363	71054028	3	3	AAM,HEIGHT,AAM-23	AAM:rs12598642:7.74578,7.24138,6.80211 HEIGHT:rs8057620:-5.96114,-8.0,-5.58234 AAM_23:rs6499244:-7.32853,-7.24138,-7.02907
chr16	71054028	72935150	2	2	HEIGHT,CD	HEIGHT:rs217181:6.31579,4.19681 CD:rs217181:6.31579,4.19681
chr16	72935150	74971503	2	2	PS-23,ALL-23	PS_23:rs7189864:-6.2168,-2.66233 ALL_23:rs11150003:3.09802,4.61098
chr16	74971503	75977954	2	2	MIGR-23,CAD	MIGR_23:rs8046697:-5.86527,3.00767 CAD:rs4888422:-4.8689,4.25934
chr17	1928731	3702312	2	2	PLT,FNBMD	PLT:rs2873195:-4.89579,5.04308 FNBMD:rs4790881:-4.44219,5.62096
chr17	3702312	4696261	2	2	ATH-23,ALL-23	ATH_23:rs71368508:-4.58929,-5.23414 ALL_23:rs34210653:-4.50761,-5.28037
chr17	4696261	5741334	2	2;2	AD,PD-23;PLT,AVD-23	AD:rs8078173:4.68498,4.03212,-0.821959,-0.545964 PD_23:rs112962352:nan,4.18887,-0.221189,-1.26784 PLT:rs6065:-1.38408,-0.0760378,6.65055,-4.5328 AVD_23:rs72835070:-0.788396,-0.11696,4.89059,-4.67998
chr17	7317398	8306425	2	2	NST-23,ALL-23	NST_23:rs11658305:8.61648,-4.45153 ALL_23:rs11078680:8.58805,-4.84276
chr17	16412342	18856320	2	2;2	HEIGHT,AAM-23;TS-23,CEI-23	HEIGHT:rs7946:5.0,-4.45023,1.03656,1.00281 AAM_23:rs1242493:4.37259,-5.12567,1.48561,1.5771 TS_23:rs34557412:nan,1.21181,9.9503,4.93196 CEI_23:rs34557412:nan,1.21181,9.9503,4.93196
chr17	18856320	21290357	2	2	MIGR-23,PLT	MIGR_23:rs9914304:4.23605,4.71656 PLT:rs397969:3.93189,5.97358
chr17	21290357	27334244	3	3	MCV,RBC,LDL	MCV:rs7215310:6.04372,-4.41036,-3.902 RBC:rs4795456:5.85584,-5.00397,-3.843 LDL:rs9895443:-5.76766,4.8011,4.04
chr17	36809344	38877404	5	5;4	ATH-23,CD,ALL-23,UC,RA;HB,RBC,HDL,PCV	ATH_23:rs11655198:-17.643,5.35818,-7.91681,6.24301,6.13534,-3.01952,-3.38643,6.0907,-2.98265 CD:rs2872507:-17.2984,5.9362,-8.35737,6.70029,5.28252,-2.99896,-3.24658,5.552,-2.90436 ALL_23:rs4795400:-17.3828,4.94121,-8.68867,5.54396,5.28252,-3.60454,-3.69568,5.61,-3.57871 UC:rs2872507:-17.2984,5.9362,-8.35737,6.70029,5.28252,-2.99896,-3.24658,5.552,-2.90436 RA:rs12232498:-17.3004,5.77336,-8.35807,6.56703,6.76366,-3.32869,-3.34021,5.48397,-3.03857 HB:rs1053651:-9.13321,2.91167,-2.3116,4.18157,3.79796,-4.69716,-5.50097,7.034,-4.88755 RBC:rs8182252:6.74063,-2.95064,2.41363,-2.21179,-4.54302,4.09924,5.81928,-5.381,4.76251 HDL:rs931992:-9.75114,2.69057,-3.23271,4.40538,3.47384,-3.50419,-3.44356,7.459,-3.70716 PCV:rs1053651:-9.13321,2.91167,-2.3116,4.18157,3.79796,-4.69716,-5.50097,7.034,-4.88755
chr17	41772087	43056905	4	4;2	MCHC,PD-23,PLT,CD;SCZ,HEIGHT	MCHC:rs2269906:6.70949,-3.76653,-1.16678,-3.56075,3.00544,0.258065 PD_23:rs850732:0.745601,4.39731,-5.28114,0.384881,-2.06694,-0.301888 PLT:rs850737:1.31533,3.85453,-5.84874,0.259435,-1.52283,0.064516 CD:rs2072081:5.53051,-2.88396,-1.10398,-3.60713,1.62248,1.25714 SCZ:rs11870991:0.757795,0.518571,-0.166241,-1.86587,-4.26997,6.63275 HEIGHT:rs11870991:0.757795,0.518571,-0.166241,-1.86587,-4.26997,6.63275
chr17	43056905	45876022	5	5	HTHY-23,HB,NST-23,PCV,EDU	HTHY_23:rs67460838:5.0459,nan,-4.79581,nan,nan HB:rs17689471:4.21793,5.50811,-5.20327,5.3691,-6.62 NST_23:rs147847247:3.76896,nan,-5.63789,nan,-4.374 PCV:rs17426174:4.12455,5.47164,-5.16302,5.54462,-6.468 EDU:rs192818565:4.09771,5.14864,-5.08866,5.07006,-7.078
chr17	45876022	47517400	2	2;2	ATH-23,ALL-23;PS-23,CAD	ATH_23:rs62076439:5.25928,5.85194,-2.83708,2.18108 ALL_23:rs28397663:4.9314,6.02371,-2.77733,1.71199 PS_23:rs10853104:1.46613,-0.174657,-5.17878,-4.34491 CAD:rs46522:-2.69818,-1.31946,2.796,4.63506
chr17	55357541	57487512	2	2	NST-23,SCZ	NST_23:rs6503868:5.67665,-4.06809 SCZ:rs12938078:0.9487,4.49393
chr17	61545589	63148128	2	2	ATH-23,NST-23	ATH_23:rs140290142:-4.67884,5.85352 NST_23:rs17650301:-4.67213,5.9361
chr17	63148128	64800430	2	2	DIMP-23,NST-23	DIMP_23:rs11650175:7.99277,-4.33828 NST_23:rs232094:-7.39244,4.81286
chr17	76263413	77298636	3	3	HB,HDL,PCV	HB:rs4969184:-5.79042,5.784,-4.54122 HDL:rs4082919:5.04983,-5.848,3.62712 PCV:rs4969184:-5.79042,5.784,-4.54122
chr18	11905440	14440799	2	2	ATH-23,RA	ATH_23:rs2847258:-3.72404,-6.76366 RA:rs2847258:-3.72404,-6.76366
chr18	20649472	22996651	2	2	BMI,EDU	BMI:rs891389:5.47368,-3.02 EDU:rs1788783:-5.34546,4.257
chr18	44299246	45939732	3	3	AAM,AAM-23,EDU	AAM:rs2137289:7.93529,6.62014,4.761 AAM_23:rs2048523:7.2625,7.36389,4.415 EDU:rs4986227:5.45904,5.36699,5.02
chr18	47730584	51062185	2	2	EDU,SCZ	EDU:rs6508230:-5.266,3.91299 SCZ:rs4632195:-4.32,4.60193
chr18	57630483	59020751	5	5	BMI,HDL,TG,T2D,HEIGHT	BMI:rs11664883:12.5952,-4.36414,4.42817,3.64015,5.45455 HDL:rs12967135:12.4902,-5.801,4.352,3.03567,6.85714 TG:rs489693:11.2566,-4.813,5.034,3.23888,5.625 T2D:rs9947403:9.00233,-2.654,3.08,4.61138,4.51613 HEIGHT:rs10871777:12.4366,-5.652,4.232,3.10543,7.14286
chr18	67175820	68621179	2	2	HTHY-23,MPV	HTHY_23:rs7241191:4.81412,-6.26277 MPV:rs1788105:-4.54729,7.10078
chr18	77149991	78017158	3	3	LSBMD,FNBMD,HEIGHT	LSBMD:rs7227107:4.45098,4.37941,-7.05882 FNBMD:rs11660128:3.27704,4.55358,-5.76781 HEIGHT:rs8099716:4.34982,4.28334,-7.11342
chr19	610729	2098396	4	4	TS-23,ATH-23,ALL-23,CD	TS_23:rs12462901:4.93282,4.05021,nan,3.95601 ATH_23:rs892225:4.25644,4.73538,nan,2.78683 ALL_23:rs11084888:4.61595,3.76407,4.86856,3.49094 CD:rs2074916:3.23792,1.70527,3.83615,6.3229
chr19	2098396	3019660	2	2	PCV,FNBMD	PCV:rs2159213:5.94784,-3.5846 FNBMD:rs1051767:nan,-3.70643
chr19	6684885	8347513	2	2	HTHY-23,TG	HTHY_23:rs7508679:5.46922,4.791 TG:rs10426094:-2.29177,-5.187
chr19	9238393	11284028	3	2;3;2;3	BHM-23,HEIGHT;LDL,TC,CAD;AAM,EDU;TS-23,RA,UC	BHM_23:rs1975161:-5.10783,-5.13365,3.1121,2.64934,2.57035,1.4183,2.468,-2.42716,-3.4412,0.757042 HEIGHT:rs6511708:-4.67009,-6.77419,3.449,2.816,3.02641,1.15035,1.486,-2.20051,-3.47384,0.651847 LDL:rs6511720:1.83731,3.72549,-23.004,-20.89,nan,0.331853,0.692,1.30283,0.0,-0.722479 TC:rs6511720:1.83731,3.72549,-23.004,-20.89,nan,0.331853,0.692,1.30283,0.0,-0.722479 CAD:rs1122608:2.78977,3.82353,-12.087,-10.56,-6.11374,0.453762,-0.767,2.61856,0.565342,-0.017923 AAM:rs2303100:-3.09849,0.862069,-0.225,-0.108,-0.520768,6.68559,-4.533,1.64564,0.492175,-1.36199 EDU:rs8104651:3.0775,-0.691709,0.173097,0.045038,0.499772,-6.36812,4.713,-1.76449,-0.492175,1.5531 TS_23:rs9797720:2.85538,0.835367,-7.14362,-5.65774,-2.35107,0.311618,-1.112,4.53427,-0.0,0.407451 RA:rs34536443:1.96,nan,nan,nan,nan,nan,0.01,4.24723,-8.02622,nan UC:rs12720356:0.631383,1.67241,0.939,0.646,nan,-1.84526,-0.597,4.06648,-4.81474,4.95842
chr19	18409862	19877471	5	5;2	TG,LDL,TC,T2D,CAD;AAM,BMI	TG:rs10401969:-11.282,-9.618,-12.934,3.46009,-3.67563,-1.20036,nan LDL:rs72999033:-10.9702,-9.78832,-12.9837,3.04459,-3.54318,-0.961986,nan TC:rs739846:-11.1777,-9.78293,-13.0585,3.17355,-3.43839,-0.976841,nan T2D:rs16996148:-10.591,-9.39,-12.507,3.54008,-2.07126,-0.176374,-1.15424 CAD:rs2228603:-10.002,-9.051,-12.174,2.29037,-3.91691,-1.17499,nan AAM:rs10221489:-1.29,0.705,1.014,-1.72238,0.391452,5.69973,-3.875 BMI:rs7258722:-0.280121,0.122647,0.022403,-1.31283,0.181677,4.67093,-4.55
chr19	40984601	42131573	2	2	MPB-23,HEIGHT	MPB_23:rs17318596:-4.75249,9.375 HEIGHT:rs4803468:4.54002,-9.67742
chr19	44744108	46102697	7	7;4	AD,LDL,NST-23,WHR,TG,HDL,TC;HB,PCV,PLT,RBC	AD:rs6857:51.3717,22.337,-4.28945,-3.93443,9.426,-8.642,19.647,-1.32642,-0.710168,-1.67737,1.16628 LDL:rs4420638:42.6215,25.801,-4.37482,nan,9.64,-9.423,22.388,nan,nan,nan,nan NST_23:rs429358:49.6434,20.8262,-5.41512,nan,8.84655,-8.10322,18.4525,nan,nan,nan,nan WHR:rs6857:51.3717,22.337,-4.28945,-3.93443,9.426,-8.642,19.647,-1.32642,-0.710168,-1.67737,1.16628 TG:rs4420638:42.6215,25.801,-4.37482,nan,9.64,-9.423,22.388,nan,nan,nan,nan HDL:rs4420638:42.6215,25.801,-4.37482,nan,9.64,-9.423,22.388,nan,nan,nan,nan TC:rs4420638:42.6215,25.801,-4.37482,nan,9.64,-9.423,22.388,nan,nan,nan,nan HB:rs151165225:-2.385,-0.020403,0.183257,-0.580683,0.190047,-0.286734,-0.103928,4.1781,4.61561,-5.38276,4.59521 PCV:rs73036517:-2.69519,-0.06412,0.0900821,-0.617988,0.134832,0.071375,-0.166021,4.13884,4.76572,-5.83549,4.59385 PLT:rs17356664:-1.40449,1.157,0.170876,-0.375143,0.397,-0.036,0.834,3.53969,4.09891,-6.27032,3.97291 RBC:rs11672923:-1.65497,0.258,-0.590756,-0.652174,0.304,-1.141,0.298,3.79693,4.68563,-5.04133,4.72212
chr19	46102697	47150082	2	2	MIGR-23,HEIGHT	MIGR_23:rs7258468:-5.47152,-4.1478 HEIGHT:rs8109951:-5.11773,-5.48387
chr19	47150082	49282227	4	4;4	CEI-23,LDL,TC,CD;AAM,BMI,HDL,TG	CEI_23:rs681343:-11.9005,5.25,6.215,5.21192,2.34553,-2.43902,-0.365,3.548 LDL:rs492602:-11.8981,5.377,6.36,5.21411,2.34553,-2.55369,-0.343,3.609 TC:rs492602:-11.8981,5.377,6.36,5.21411,2.34553,-2.55369,-0.343,3.609 CD:rs646327:-11.3773,4.95123,5.76537,5.50643,3.35295,-2.46956,-0.57342,3.58129 AAM:rs10408163:-0.50275,1.3,1.159,-1.75981,-4.224,5.7687,-4.006,4.06 BMI:rs7251104:-0.568794,1.22343,1.05424,-1.72607,-4.06114,6.02439,-3.96371,3.94339 HDL:rs2974224:-1.70649,0.633,1.79,-2.18281,2.40892,-1.25618,4.52,-0.874 TG:rs10408163:-0.50275,1.3,1.159,-1.75981,-4.224,5.7687,-4.006,4.06
chr19	57521335	59118839	2	2	HEIGHT,CD	HEIGHT:rs4801460:-4.41176,4.29387 CD:rs8111453:-4.26292,4.3496
chr2	10133	1781022	4	4;2	AAM,BMI,CUP-23,AAM-23;BHM-23,NST-23	AAM:rs2947411:-6.79277,11.4438,5.45913,-8.47488,-0.709728,-0.802536 BMI:rs12623218:-6.14078,12.3878,5.54449,-8.25001,-0.633992,-1.11738 CUP_23:rs62105303:-6.21134,11.7855,5.78623,-8.30458,-0.58497,-1.05848 AAM_23:rs201205097:nan,nan,5.52076,-8.54548,-0.729336,-1.12043 BHM_23:rs62114538:-2.2678,-1.75889,-0.0987233,-0.999416,-4.50813,-5.55988 NST_23:rs300751:-1.73127,-1.06174,0.229347,-1.29652,-3.565,-6.21462
chr2	8422147	10298469	2	2	ATH-23,ALL-23	ATH_23:rs13412757:-5.95229,-5.69127 ALL_23:rs367023:-5.76447,-7.36539
chr2	24686918	26894985	3	3	AAM,BMI,CUP-23	AAM:rs17046434:-4.1974,0.952381,0.351807 BMI:rs6545790:-3.6153,8.40541,3.8397 CUP_23:rs146454936:nan,nan,4.51414
chr2	26894985	28598777	9	9	PLT,CUP-23,LDL,CD,NST-23,FG,TG,HEIGHT,TC	PLT:rs1260326:-6.12418,-3.75029,-3.68,-3.72879,-3.63839,10.3226,-24.539,6.66667,-10.731 CUP_23:rs200164077:nan,-3.98138,nan,nan,-1.12521,nan,nan,nan,nan LDL:rs1260326:-6.12418,-3.75029,-3.68,-3.72879,-3.63839,10.3226,-24.539,6.66667,-10.731 CD:rs4401177:1.95452,1.07082,1.425,4.4242,0.646303,-4.90566,8.675,-2.2449,4.228 NST_23:rs35021474:nan,0.360514,nan,nan,3.88341,nan,nan,nan,nan FG:rs780093:-5.63486,-3.81813,-3.672,-3.56011,-3.45189,10.3226,-23.681,6.66667,-10.325 TG:rs1260326:-6.12418,-3.75029,-3.68,-3.72879,-3.63839,10.3226,-24.539,6.66667,-10.731 HEIGHT:rs780094:-5.72737,-3.70799,-3.517,-3.619,-3.48285,10.3226,-23.768,7.0,-10.263 TC:rs1260326:-6.12418,-3.75029,-3.68,-3.72879,-3.63839,10.3226,-24.539,6.66667,-10.731
chr2	28598777	29217559	4	4	TG,HEIGHT,ALL-23,CD	TG:rs10174692:5.56,-2.40541,nan,3.21515 HEIGHT:rs6547850:-4.532,5.0,-3.94663,-3.40076 ALL_23:rs7574996:4.30971,-4.44204,4.73482,3.77755 CD:rs13015562:nan,nan,-0.670688,-3.98507
chr2	30463711	31550450	2	2	PLT,HEIGHT	PLT:rs625132:7.4526,-4.7619 HEIGHT:rs625132:7.4526,-4.7619
chr2	43309590	44313803	3	3	LDL,TC,CAD	LDL:rs4299376:-14.476,-14.096,-3.30616 TC:rs4299376:-14.476,-14.096,-3.30616 CAD:rs4953023:-12.005,-11.502,-4.73879
chr2	54685226	56203345	2	2;2	BHM-23,HEIGHT;CEI-23,NST-23	BHM_23:rs3791679:-5.50209,-17.1429,2.92379,-4.41516 HEIGHT:rs3791675:-5.26869,-17.3529,2.86671,-4.15326 CEI_23:rs1802575:3.29836,11.2965,-6.68123,5.40081 NST_23:rs11899380:3.20668,11.3476,-6.60997,5.45811
chr2	57429100	58297315	2	2	EDU,SCZ	EDU:rs1106090:4.921,4.09852 SCZ:rs11682175:4.07,7.00091
chr2	58297315	60292000	2	2	AAM,BMI	AAM:rs268067:4.2148,-3.10417 BMI:rs763712:4.14487,-6.02439
chr2	64625913	65933444	2	2	TS-23,MCV	TS_23:rs201473667:-7.2403,nan MCV:rs6738087:-6.94045,4.52891
chr2	73174848	75630086	2	2	AVD-23,AAM-23	AVD_23:rs35327298:5.93531,5.92606 AAM_23:rs35273932:5.77366,6.0676
chr2	85140680	88038507	2	2	HDL,RA	HDL:rs1053560:5.326,-4.58307 RA:rs4459734:5.261,-4.58307
chr2	101822329	102688765	5	5	TS-23,ATH-23,ALL-23,UC,CD	TS_23:rs4141634:-4.4797,-0.666205,-1.39522,-3.85318,-3.36679 ATH_23:rs74538397:0.380236,-4.95208,-4.59746,nan,nan ALL_23:rs74538397:0.380236,-4.95208,-4.59746,nan,nan UC:rs2310173:-3.66884,3.95464,3.01406,-5.19133,-4.2451 CD:rs2310173:-3.66884,3.95464,3.01406,-5.19133,-4.2451
chr2	102688765	103588215	2	2	ATH-23,ALL-23	ATH_23:rs34395902:-12.1258,-11.5599 ALL_23:rs950881:-11.9248,-11.8221
chr2	108429177	110572432	2	2	UB-23,MPB-23	UB_23:rs3827760:8.32771,-5.86276 MPB_23:rs3827760:8.32771,-5.86276
